Provincia,Contagios,,Latitud,Longitud,Latitud,Longitud,,Estables en aislamiento domiciliario,Hospitalizados estables,Hospitalizados con pronostico reservado,Casos con alta hospitalaria,Fallecidos,Sospecha
Galapagos,11,,00ø54?00?S,89ø36?00?W,-0.9,-89.6,,3744,178,146,140,242,4208
Guayas,3047,,02ø10?00?S,79ø54?00?W,-2.166666667,-79.9,,,,,,,
Sto. Domingo de los Tsachilas,44,,00ø15?00?S,79ø09?00?W,-0.25,-79.15,,,,,,,
Esmeraldas,25,,00ø57?33?N,79ø39?14?W,0.959166667,-79.65,,,,,,,
Manabi,132,,01ø03?00?S,80ø27?00?W,-1.05,-80.45,,,,,,,
Santa Elena,53,,02ø14?00?S,80ø51?00?W,-2.233333333,-80.85,,,,,,,
Los Rios,175,,01ø49?00?S,79ø31?00?W,-1.816666667,-79.51666667,,,,,,,
El Oro,85,,03ø16?00?S,79ø58?00?W,-3.266666667,-79.96666667,,,,,,,
Bolivar,27,,01ø36?00?S,79ø00?00?W,-1.6,-79,,,,,,,
Chimborazo,51,,01ø40?00?S,78ø38?00?W,-1.666666667,-78.63333333,,,,,,,
Imbabura,21,,00ø21?00?N,78ø07?00?W,0.35,-78.11666667,,,,,,,
Tungurahua,22,,01ø14?57?S,78ø37?00?W,-1.249166667,-78.61666667,,,,,,,
Cotopaxi,28,,00ø56?00?S,78ø37?00?W,-0.933333333,-78.61666667,,,,,,,
Pichincha,440,,00ø13?47?S,78ø31?30?W,-0.933333333,-78.61666667,,,,,,,,
Carchi,14,,00ø48?00?N,77ø43?00?W;0.8,-77.71666667,,,,,,,
Canar,64,,02ø44?00?S,78ø50?00?W,-2.733333333,-78.83333333,,,,,,,
Azuay,107,,02ø53?00?S,78ø59?00?W,-2.883333333,-78.98333333,,,,,,,
Loja,34,,03ø59?35?S,79ø12?15?W,-3.993055556,-79.20416667,,,,,,,
Sucumbios,33,,00ø05?05?N,76ø52?58?W,0.084722222,-76.88277778,,,,,,,
Orellana,4,,00ø20?00?S,77ø00?00?W,-0.333333333,-77,,,,,,,
Napo,2,,00ø59?00?S,77ø49?00?W,-0.983333333,-77.81666667,,,,,,,
Morona Santiago,17,,02ø53?55?S,77ø41?57?W,-2.898611111,-77.69916667,,,,,,,
Pastaza,12,,01ø28?00?S,77ø59?00?W,-1.466666667,-77.98333333,,,,,,,
Zamora Chinchipe,2,,04ø04?09?S,78ø57?24?W,-4.069166667,-78.95666667,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,4450,,,,,,,,,,,,
FECHA,8/4/2020,,,,,,,,,,,,
