Provincia;Contagios;; Latitud ;Longitud
Galapagos;11;;-0.9;-89.6
Guayas;3047;;-2.166666667;-79.9
Sto. Domingo de los Tsachilas;44;;-0.25;-79.15
Esmeraldas;25;;0.959166667;-79.65
Manabi;132;;-1.05;-80.45
Santa Elena;53;;-2.233333333;-80.85
Los Rios;175;;-1.816666667;-79.51666667
El Oro;85;;-3.266666667;-79.96666667
Bolivar;27;;-1.6;-79
Chimborazo;51;;-1.666666667;-78.63333333
Imbabura;21;;0.35;-78.11666667
Tungurahua;22;;-1.249166667;-78.61666667
Cotopaxi;28;;-0.933333333;-78.61666667
Pichincha;440;;-0.933333333;-78.61666667
Carchi;14;;0.8;-77.71666667
Canar;64;;-2.733333333;-78.83333333
Azuay;107;;-2.883333333;-78.98333333
Loja;34;;-3.993055556;-79.20416667
Sucumbios;33;;0.084722222;-76.88277778
Orellana;4;;-0.333333333;-77
Napo;2;;-0.983333333;-77.81666667
Morona Santiago;17;;-2.898611111;-77.69916667
Pastaza;12;;-1.466666667;-77.98333333
Zamora Chinchipe;2;;-4.069166667;-78.95666667
;;;;
;;;;
TOTAL;4450;;;
FECHA;8/4/2020;;;
;;;;
Estables en aislamiento domiciliario;3744;;;
Hospitalizados estables;178;;;
Hospitalizados con pron¢stico reservado.;146;;;
Casos con alta hospitalaria;140;;;
Fallecidos;242;;;
Sospecha;4208;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
