Provincia,Contagios,, Latitud ,Longitud
Galapagos,11,,-0.9,-89.6
Guayas,5395,,-2.166666667,-79.9
Sto. Domingo de los Tsachilas,65,,-0.25,-79.15
Esmeraldas,38,,0.959166667,-79.65
Manabi,215,,-1.05,-80.45
Santa Elena,78,,-2.233333333,-80.85
Los Rios,239,,-1.816666667,-79.51666667
El Oro,160,,-3.266666667,-79.96666667
Bolivar,33,,-1.6,-79
Chimborazo,85,,-1.666666667,-78.63333333
Imbabura,33,,0.35,-78.11666667
Tungurahua,43,,-1.249166667,-78.61666667
Cotopaxi,42,,-0.933333333,-78.61666667
Pichincha,634,,-0.933333333,-78.61666667
Carchi,25,,0.8,-77.71666667
Canar,100,,-2.733333333,-78.83333333
Azuay,182,,-2.883333333,-78.98333333
Loja,69,,-3.993055556,-79.20416667
Sucumbios,33,,0.084722222,-76.88277778
Orellana,6,,-0.333333333,-77
Napo,6,,-0.983333333,-77.81666667
Morona Santiago,20,,-2.898611111,-77.69916667
Pastaza,13,,-1.466666667,-77.98333333
Zamora Chinchipe,4,,-4.069166667,-78.95666667
,,,,
,,,,
TOTAL,7529,,,
FECHA,14/4/2020,,,
,,,,
Estables en aislamiento domiciliario,6256,,,
Hospitalizados estables,200,,,
Hospitalizados con pron¢stico reservado.,121,,,
Casos con alta hospitalaria,597,,,
Fallecidos,355,,,
Descartados,7297,,,
